Image Filename,Latitude,Longitude,Seal Bounding Box,Ice Chunk Area
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[2184, 3200, 2216, 3263]",30815.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[2132, 3200, 2186, 3231]",30815.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[1878, 1120, 1919, 1152]",14309.0
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[2148, 1189, 2191, 1236]",11375.0
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[1920, 1118, 1974, 1149]",14309.0
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[1921, 1151, 1984, 1177]",14309.0
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[3875, 640, 3915, 720]",10379.5
JHI_FullSurvey_75m_Flight_01_00365.JPG,58.852707391083335,-137.09736909169445,"[3909, 679, 3952, 726]",10379.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[4880, 86, 4989, 151]",50646.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[5027, 148, 5074, 231]",50646.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[5077, 106, 5118, 197]",50646.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[4988, 143, 5020, 211]",50646.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[574, 1280, 615, 1330]",8614.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[3337, 1443, 3425, 1517]",12193.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[3933, 1448, 3970, 1526]",10208.0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[4853, 2030, 4920, 2066]",8041.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[837, 2354, 930, 2409]",16413.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[3780, 2845, 3829, 2940]",10865.0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[3976, 2599, 4011, 2679]",10797.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[3840, 2900, 3855, 2942]",10865.0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[4349, 3097, 4389, 3159]",5873.0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[1037, 2638, 1085, 2700]",4981.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[1817, 3317, 1912, 3350]",13819.0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[1859, 3346, 1918, 3371]",13819.0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[2084, 3384, 2127, 3435]",10622.0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[1148, 3474, 1196, 3533]",20027.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[1169, 3484, 1230, 3578]",20027.5
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[1506, 966, 1572, 998]",0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[3841, 805, 3921, 864]",28958.0
JHI_FullSurvey_75m_Flight_01_00366.JPG,58.85249152497222,-137.09767640919446,"[3937, 785, 3960, 854]",28958.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[3905, 168, 3992, 253]",12585.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[3748, 1508, 3809, 1533]",6651.5
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[4902, 1665, 4979, 1730]",18704.5
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[5008, 2337, 5116, 2404]",52373.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[5156, 2398, 5202, 2481]",52373.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[5206, 2359, 5249, 2448]",52373.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[5120, 2392, 5145, 2455]",52373.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[4057, 3019, 4081, 3084]",28307.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[3972, 3039, 4044, 3092]",28307.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[3458, 3635, 3552, 3713]",11394.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[4044, 3647, 4078, 3728]",8928.0
JHI_FullSurvey_75m_Flight_01_00367.JPG,58.85227295291667,-137.09797787925,"[770, 3406, 807, 3484]",7204.5
JHI_FullSurvey_75m_Flight_01_00370.JPG,58.85162647352778,-137.09889047944446,"[3024, 91, 3100, 147]",12472.5
JHI_FullSurvey_75m_Flight_01_00370.JPG,58.85162647352778,-137.09889047944446,"[3067, 76, 3130, 103]",12472.5
JHI_FullSurvey_75m_Flight_01_00370.JPG,58.85162647352778,-137.09889047944446,"[4393, 38, 4456, 122]",20251.5
JHI_FullSurvey_75m_Flight_01_00370.JPG,58.85162647352778,-137.09889047944446,"[5350, 175, 5389, 244]",11894.0
JHI_FullSurvey_75m_Flight_01_00370.JPG,58.85162647352778,-137.09889047944446,"[5847, 2071, 5906, 2139]",18051.5
JHI_FullSurvey_75m_Flight_01_00370.JPG,58.85162647352778,-137.09889047944446,"[5814, 2103, 5880, 2146]",18051.5
JHI_FullSurvey_75m_Flight_01_00370.JPG,58.85162647352778,-137.09889047944446,"[1640, 2617, 1673, 2720]",26660.0
